Date;Asset;Open;High;Low;Close; Volume ;Decision;OpenInterest
11/05/2018;ICFFUT;229,98;229,98;227,57;228,12; R$1.983.793,04 ;Sell;4474
10/05/2018;ICFFUT;229,28;229,43;229,28;229,43; R$319.168,70 ;Sell;4435
09/05/2018;ICFFUT;228,19;228,5;227,5;228,04; R$2.516.651,01 ;Sell;4435
08/05/2018;ICFFUT;231,06;232,54;229,2;229,59; R$4.978.370,88 ;Sell;4425
07/05/2018;ICFFUT;233,55;233,93;230,68;231,84; R$9.525.470,19 ;Sell;4470
04/05/2018;ICFFUT;238,2;239,52;235,25;236,18; R$7.605.650,21 ;Sell;4422
03/05/2018;ICFFUT;237,89;240,84;237,89;238,12; R$6.938.201,71 ;Sell;4411
02/05/2018;ICFFUT;236,57;243,09;236,57;238,59; R$33.746.193,01 ;Buy;4517
30/04/2018;ICFFUT;234,55;237,04;234,55;236,26; R$2.897.750,74 ;Buy;4468
27/04/2018;ICFFUT;230,83;236,42;230,83;236,42; R$3.192.946,64 ;Buy;4486
26/04/2018;ICFFUT;229,98;231,22;229,82;230,52; R$2.757.632,04 ;Buy;4494
25/04/2018;ICFFUT;232,69;232,69;227,96;227,96; R$1.948.466,19 ;Buy;4490
24/04/2018;ICFFUT;231,14;232,3;231,14;232,3; R$1.131.532,28 ;Buy;4478
23/04/2018;ICFFUT;227,26;229,98;227,11;228,97; R$2.601.809,34 ;Buy;4478
20/04/2018;ICFFUT;225,09;227,5;225,09;227,5; R$397.309,79 ;Buy;4482
19/04/2018;ICFFUT;226,18;226,8;224,63;224,63; R$6.100.474,09 ;Buy;4407
18/04/2018;ICFFUT;224;226,64;224;225,79; R$5.834.985,96 ;Buy;4337
17/04/2018;ICFFUT;223,77;223,77;223,77;223,77; R$49.492,18 ;Buy;4337
16/04/2018;ICFFUT;228,04;228,12;224,63;224,63; R$4.672.901,01 ;Sell;4307
13/04/2018;ICFFUT;231,14;231,14;229,98;230,21; R$1.512.280,57 ;Sell;4303
12/04/2018;ICFFUT;231,54;231,54;230,82;231,14; R$1.627.030,59 ;Sell;4620
11/04/2018;ICFFUT;230,35;231,85;228,92;231,77; R$9.457.370,54 ;Sell;4574
10/04/2018;ICFFUT;231,3;231,3;229,4;229,4; R$2.025.137,19 ;Sell;4571
09/04/2018;ICFFUT;228,77;233,04;228,77;231,54; R$6.112.690,27 ;Sell;4583
06/04/2018;ICFFUT;231,14;231,14;229,32;230,19; R$4.369.910,86 ;Sell;4582
05/04/2018;ICFFUT;228,85;231,93;228,85;231,06; R$4.667.105,91 ;Sell;4594
04/04/2018;ICFFUT;227,97;230,11;227,97;230,03; R$9.930.041,34 ;Sell;4586
03/04/2018;ICFFUT;229,56;230,35;228,37;229,4; R$6.829.940,11 ;Sell;4905
02/04/2018;ICFFUT;233,2;233,2;228,92;229,08; R$11.872.609,90 ;Sell;4905
29/03/2018;ICFFUT;230,59;232,96;230,59;231,93; R$4.803.179,21 ;Sell;4930
28/03/2018;ICFFUT;233,36;233,36;230,98;232,17; R$2.000.299,05 ;Sell;4930
27/03/2018;ICFFUT;232,57;233,99;231,93;233,04; R$5.001.393,70 ;Sell;4974
26/03/2018;ICFFUT;230,67;233,12;230,67;231,85; R$1.792.676,46 ;Sell;4985
23/03/2018;ICFFUT;234,15;234,15;229,79;230,9; R$7.319.333,14 ;Sell;4948
